,NOMBRE,NOMBRE-VIA,DISTRITO,LATITUD,LONGITUD,DISTANCIA_SEDES
0,Campo de Golf del Centro Nacional de Golf,ARROYO DEL MONTE,FUENCARRAL-EL PARDO,40.4855081729451,-3.735278975476509,POINT (4506826.154319164 -416104.2065551275)
1,Campo de Golf del Club de Golf Olivar de la Hinojosa,VIA DE DUBLIN,BARAJAS,40.46535088559728,-3.6112928743147017,POINT (4504582.255355831 -402273.7208142197)
2,Campos de Fútbol Ernesto Cotorruelo,VIA LUSITANA,CARABANCHEL,40.38123067335327,-3.72417923544762,POINT (4495218.036163406 -414865.966552915)
3,Centro Comercial Dreams - Palacio Municipal de Hielo,SILVANO,HORTALEZA,40.46291274127404,-3.635733711568097,POINT (4504310.842371287 -404999.9123872458)
4,Centro de Alto Rendimiento del Consejo Superior de Deportes,MARTIN FIERRO,MONCLOA-ARAVACA,40.43681199436766,-3.731957404586383,POINT (4501405.320516344 -415733.6645299961)
5,Centro de Natación Mundial 86 (M - 86),JOSE MARTíNEZ DE VELASCO,RETIRO,40.41550175083768,-3.6670879396617257,POINT (4499033.075057907 -408497.3489838375)
6,Centro Deportivo Municipal  María Jesús Rosa (La Vaguada),MONFORTE DE LEMOS,FUENCARRAL-EL PARDO,40.47876758357458,-3.7086993281311904,POINT (4506075.795342792 -413139.1196950942)
7,Centro Deportivo Municipal Alcántara,ALCANTARA,SALAMANCA,40.42810291538114,-3.6737317205040494,POINT (4500435.830278288 -409238.4514245269)
8,Centro Deportivo Municipal Alfredo Goyeneche,ARROYO DE POZUELO,MONCLOA-ARAVACA,40.45212135012858,-3.783283203719198,POINT (4503109.550204024 -421459.535934374)
9,Centro Deportivo Municipal Aluche,DE LAS AGUILAS,LATINA,40.382720517194784,-3.773653600881568,POINT (4495383.884821204 -420385.2382514398)
10,Centro Deportivo Municipal Ángel Nieto (antiguo Puente de Vallecas),PAYASO FOFO,PUENTE DE VALLECAS,40.39146194707861,-3.6598636029775866,POINT (4496356.976344677 -407691.4927776916)
11,Centro Deportivo Municipal Antonio Díaz Miguel,JOAQUIN DICENTA,TETUAN,40.471254265861454,-3.6953256978963807,POINT (4505239.416640799 -411647.2609983729)
12,Centro Deportivo Municipal Barajas,LOGROÑO,BARAJAS,40.46301382809657,-3.587693324074623,POINT (4504322.095304897 -399641.4381334092)
13,Centro Deportivo Municipal Barceló,BARCELO,DISTRITO,40.42671069347762,-3.698827763611272,POINT (4500280.848844916 -412037.9221718144)
14,Centro Deportivo Municipal Canódromo,VIA CARPETANA,CARABANCHEL,40.39801608457685,-3.735272504053953,POINT (4497086.57959357 -416103.4846260688)
15,Centro Deportivo Municipal Casa de Campo,PUERTA DEL ANGEL,MONCLOA-ARAVACA,40.41612628789201,-3.733536573641621,POINT (4499102.598204777 -415909.8305485775)
