;NOMBRE;NOMBRE-VIA;TIPO DE LUGAR;DISTRITO;DISTANCIA_SEDES;name;address;DISTANCIA_BICIS;DISTANCIA TOTAL
262;Campo de Golf del Centro Nacional de Golf;ARROYO DEL MONTE;SEDES. Centros con espacios deportivos;FUENCARRAL-EL PARDO;POINT (4506826.154319164 -416104.2065551275);Facultad Derecho;Avenida Complutense nº 23;POINT (4502994.74083288 -415445.024322674);3887.7050451986247
261;Campo de Golf del Centro Nacional de Golf;ARROYO DEL MONTE;SEDES. Centros con espacios deportivos;FUENCARRAL-EL PARDO;POINT (4506826.154319164 -416104.2065551275);Facultad Biología;Calle José Antonio Novais frente al nº 12;POINT (4502687.743941171 -415213.4906984274);4233.1802694970465
241;Campo de Golf del Centro Nacional de Golf;ARROYO DEL MONTE;SEDES. Centros con espacios deportivos;FUENCARRAL-EL PARDO;POINT (4506826.154319164 -416104.2065551275);Francos Rodríguez;Calle Francos Rodríguez nº 62;POINT (4503623.037832471 -413061.4121393409);4417.980656824014
239;Campo de Golf del Centro Nacional de Golf;ARROYO DEL MONTE;SEDES. Centros con espacios deportivos;FUENCARRAL-EL PARDO;POINT (4506826.154319164 -416104.2065551275);Pablo Iglesias;Calle Francisco Balseiro nº 1;POINT (4503021.791469144 -413342.7792699079);4700.920904054028
259;Campo de Golf del Centro Nacional de Golf;ARROYO DEL MONTE;SEDES. Centros con espacios deportivos;FUENCARRAL-EL PARDO;POINT (4506826.154319164 -416104.2065551275);Ciudad Universitaria 1;Avenida de la Complutense (Metro Ciudad Universitaria);POINT (4502177.655770458 -415179.5220676512);4739.575947139319
260;Campo de Golf del Centro Nacional de Golf;ARROYO DEL MONTE;SEDES. Centros con espacios deportivos;FUENCARRAL-EL PARDO;POINT (4506826.154319164 -416104.2065551275);Ciudad Universitaria 2;Avenida de la Complutense (Metro Ciudad Universitaria);POINT (4502140.920338497 -415172.8287427756);4776.91135389232
208;Campo de Golf del Centro Nacional de Golf;ARROYO DEL MONTE;SEDES. Centros con espacios deportivos;FUENCARRAL-EL PARDO;POINT (4506826.154319164 -416104.2065551275);Metro Tetuán;Calle Marqués de Viana nº 3;POINT (4504070.109377841 -412056.2988241261);4897.074710201202
209;Campo de Golf del Centro Nacional de Golf;ARROYO DEL MONTE;SEDES. Centros con espacios deportivos;FUENCARRAL-EL PARDO;POINT (4506826.154319164 -416104.2065551275);Remonta;Calle Azucenas nº 1;POINT (4504323.639518123 -411871.2121165185);4917.399947810281
133;Campo de Golf del Centro Nacional de Golf;ARROYO DEL MONTE;SEDES. Centros con espacios deportivos;FUENCARRAL-EL PARDO;POINT (4506826.154319164 -416104.2065551275);San Germán 57;Calle San Germán nº 57;POINT (4503684.075647669 -412276.6140344901);4952.082681246921
257;Campo de Golf del Centro Nacional de Golf;ARROYO DEL MONTE;SEDES. Centros con espacios deportivos;FUENCARRAL-EL PARDO;POINT (4506826.154319164 -416104.2065551275);Reina Victoria;Calle Beatriz de Bobadilla frente al nº 2;POINT (4502467.086446521 -413711.463731199);4972.593985011616
